Image 0: Predicted - Ancistrus, Actual - Ancistrus
Image 858: Predicted - Charax, Actual - Charax
Image 859: Predicted - Charax, Actual - Charax
Image 860: Predicted - Charax, Actual - Charax
Image 861: Predicted - Bryconops, Actual - Charax
Image 862: Predicted - Charax, Actual - Charax
Image 863: Predicted - Charax, Actual - Charax
Image 864: Predicted - Charax, Actual - Charax
Image 865: Predicted - Charax, Actual - Charax
Image 866: Predicted - Copella, Actual - Copella
Image 867: Predicted - Copella, Actual - Copella
Image 868: Predicted - Copella, Actual - Copella
Image 869: Predicted - Hemigrammus, Actual - Copella
Image 870: Predicted - Copella, Actual - Copella
Image 871: Predicted - Copella, Actual - Copella
Image 872: Predicted - Copella, Actual - Copella
Image 873: Predicted - Curimata, Actual - Copella
Image 874: Predicted - Copella, Actual - Copella
Image 875: Predicted - Curimata, Actual - Copella
Image 876: Predicted - Copella, Actual - Copella
Image 877: Predicted - Copella, Actual - Copella
Image 878: Predicted - Copella, Actual - Copella
Image 879: Predicted - Doras, Actual - Copella
Image 880: Predicted - Copella, Actual - Copella
Image 881: Predicted - Copella, Actual - Copella
Image 882: Predicted - Copella, Actual - Copella
Image 883: Predicted - Copella, Actual - Copella
Image 884: Predicted - Copella, Actual - Copella
Image 885: Predicted - Copella, Actual - Copella
Image 886: Predicted - Copella, Actual - Copella
Image 887: Predicted - Copella, Actual - Copella
Image 888: Predicted - Copella, Actual - Copella
Image 889: Predicted - Copella, Actual - Copella
Image 890: Predicted - Copella, Actual - Copella
Image 891: Predicted - Copella, Actual - Copella
Image 892: Predicted - Copella, Actual - Copella
Image 893: Predicted - Copella, Actual - Copella
Image 894: Predicted - Copella, Actual - Copella
Image 895: Predicted - Copella, Actual - Copella
Image 896: Predicted - Copella, Actual - Copella
Image 897: Predicted - Copella, Actual - Copella
Image 898: Predicted - Copella, Actual - Copella
Image 899: Predicted - Curimata, Actual - Copella
Image 900: Predicted - Copella, Actual - Copella
Image 901: Predicted - Copella, Actual - Copella
Image 902: Predicted - Copella, Actual - Copella
Image 903: Predicted - Copella, Actual - Copella
Image 904: Predicted - Copella, Actual - Copella
Image 905: Predicted - Copella, Actual - Copella
Image 906: Predicted - Copella, Actual - Copella
Image 907: Predicted - Charax, Actual - Copella
Image 908: Predicted - Copella, Actual - Copella
Image 909: Predicted - Copella, Actual - Copella
Image 910: Predicted - Copella, Actual - Copella
Image 911: Predicted - Copella, Actual - Copella
Image 912: Predicted - Copella, Actual - Copella
Image 913: Predicted - Copella, Actual - Copella
Image 914: Predicted - Copella, Actual - Copella
Image 915: Predicted - Hemigrammus, Actual - Copella
Image 916: Predicted - Copella, Actual - Copella
Image 917: Predicted - Copella, Actual - Copella
Image 918: Predicted - Copella, Actual - Copella
Image 919: Predicted - Hemigrammus, Actual - Copella
Image 920: Predicted - Corydoras, Actual - Corydoras
Image 921: Predicted - Corydoras, Actual - Corydoras
Image 922: Predicted - Otocinclus, Actual - Corydoras
Image 923: Predicted - Corydoras, Actual - Corydoras
Image 924: Predicted - Corydoras, Actual - Corydoras
Image 925: Predicted - Corydoras, Actual - Corydoras
Image 926: Predicted - Corydoras, Actual - Corydoras
Image 927: Predicted - Corydoras, Actual - Corydoras
Image 928: Predicted - Corydoras, Actual - Corydoras
Image 929: Predicted - Corydoras, Actual - Corydoras
Image 930: Predicted - Corydoras, Actual - Corydoras
Image 931: Predicted - Corydoras, Actual - Corydoras
Image 932: Predicted - Bunocephalus, Actual - Corydoras
Image 933: Predicted - Corydoras, Actual - Corydoras
Image 934: Predicted - Corydoras, Actual - Corydoras
Image 935: Predicted - Copella, Actual - Corydoras
Image 936: Predicted - Corydoras, Actual - Corydoras
Image 937: Predicted - Corydoras, Actual - Corydoras
Image 938: Predicted - Corydoras, Actual - Corydoras
Image 939: Predicted - Corydoras, Actual - Corydoras
Image 940: Predicted - Corydoras, Actual - Corydoras
Image 941: Predicted - Corydoras, Actual - Corydoras
Image 942: Predicted - Rineloricaria, Actual - Corydoras
Image 943: Predicted - Astyanax, Actual - Corydoras
Image 944: Predicted - Corydoras, Actual - Corydoras
Image 945: Predicted - Tatia, Actual - Corydoras
Image 946: Predicted - Corydoras, Actual - Corydoras
Image 947: Predicted - Corydoras, Actual - Corydoras
Image 948: Predicted - Corydoras, Actual - Corydoras
Image 949: Predicted - Corydoras, Actual - Corydoras
Image 950: Predicted - Corydoras, Actual - Corydoras
Image 951: Predicted - Corydoras, Actual - Corydoras
Image 952: Predicted - Corydoras, Actual - Corydoras
Image 953: Predicted - Otocinclus, Actual - Corydoras
Image 954: Predicted - Corydoras, Actual - Corydoras
Image 955: Predicted - Corydoras, Actual - Corydoras
Image 956: Predicted - Corydoras, Actual - Corydoras
Image 957: Predicted - Corydoras, Actual - Corydoras
Image 958: Predicted - Corydoras, Actual - Corydoras
Image 959: Predicted - Corydoras, Actual - Corydoras
Image 960: Predicted - Corydoras, Actual - Corydoras
Image 961: Predicted - Corydoras, Actual - Corydoras
Image 962: Predicted - Corydoras, Actual - Corydoras
Image 963: Predicted - Corydoras, Actual - Corydoras
Image 964: Predicted - Corydoras, Actual - Corydoras
Image 965: Predicted - Corydoras, Actual - Corydoras
Image 966: Predicted - Corydoras, Actual - Corydoras
Image 967: Predicted - Corydoras, Actual - Corydoras
Image 968: Predicted - Corydoras, Actual - Corydoras
Image 969: Predicted - Corydoras, Actual - Corydoras
Image 970: Predicted - Corydoras, Actual - Corydoras
Image 971: Predicted - Corydoras, Actual - Corydoras
Image 972: Predicted - Corydoras, Actual - Corydoras
Image 973: Predicted - Corydoras, Actual - Corydoras
Image 974: Predicted - Hemigrammus, Actual - Corydoras
Image 975: Predicted - Corydoras, Actual - Corydoras
Image 976: Predicted - Corydoras, Actual - Corydoras
Image 977: Predicted - Corydoras, Actual - Corydoras
Image 978: Predicted - Corydoras, Actual - Corydoras
Image 979: Predicted - Corydoras, Actual - Corydoras
Image 980: Predicted - Corydoras, Actual - Corydoras
Image 981: Predicted - Corydoras, Actual - Corydoras
Image 982: Predicted - Corydoras, Actual - Corydoras
Image 983: Predicted - Corydoras, Actual - Corydoras
Image 984: Predicted - Corydoras, Actual - Corydoras
Image 985: Predicted - Corydoras, Actual - Corydoras
Image 986: Predicted - Corydoras, Actual - Corydoras
Image 987: Predicted - Corydoras, Actual - Corydoras
Image 988: Predicted - Corydoras, Actual - Corydoras
Image 989: Predicted - Corydoras, Actual - Corydoras
Image 990: Predicted - Corydoras, Actual - Corydoras
Image 991: Predicted - Corydoras, Actual - Corydoras
Image 992: Predicted - Corydoras, Actual - Corydoras
Image 993: Predicted - Corydoras, Actual - Corydoras
Image 994: Predicted - Corydoras, Actual - Corydoras
Image 995: Predicted - Corydoras, Actual - Corydoras
Image 996: Predicted - Corydoras, Actual - Corydoras
Image 997: Predicted - Corydoras, Actual - Corydoras
Image 998: Predicted - Corydoras, Actual - Corydoras
Image 999: Predicted - Corydoras, Actual - Corydoras
Image 1000: Predicted - Corydoras, Actual - Corydoras
Image 1001: Predicted - Corydoras, Actual - Corydoras
Image 1002: Predicted - Corydoras, Actual - Corydoras
Image 1003: Predicted - Corydoras, Actual - Corydoras
Image 1004: Predicted - Corydoras, Actual - Corydoras
Image 1005: Predicted - Corydoras, Actual - Corydoras
Image 1006: Predicted - Corydoras, Actual - Corydoras
Image 1007: Predicted - Corydoras, Actual - Corydoras
Image 1008: Predicted - Corydoras, Actual - Corydoras
Image 1009: Predicted - Corydoras, Actual - Corydoras
Image 1010: Predicted - Corydoras, Actual - Corydoras
Image 1011: Predicted - Corydoras, Actual - Corydoras
Image 1012: Predicted - Corydoras, Actual - Corydoras
Image 1013: Predicted - Corydoras, Actual - Corydoras
Image 1014: Predicted - Corydoras, Actual - Corydoras
Image 1015: Predicted - Corydoras, Actual - Corydoras
Image 1016: Predicted - Corydoras, Actual - Corydoras
Image 1017: Predicted - Corydoras, Actual - Corydoras
Image 1018: Predicted - Corydoras, Actual - Corydoras
Image 1019: Predicted - Corydoras, Actual - Corydoras
Image 1020: Predicted - Corydoras, Actual - Corydoras
Image 1021: Predicted - Creagrutus, Actual - Creagrutus
Image 1022: Predicted - Creagrutus, Actual - Creagrutus
Image 1023: Predicted - Hemigrammus, Actual - Creagrutus
Image 1024: Predicted - Hemigrammus, Actual - Creagrutus
Image 1025: Predicted - Hemigrammus, Actual - Creagrutus
Image 1026: Predicted - Creagrutus, Actual - Creagrutus
Image 1027: Predicted - Creagrutus, Actual - Creagrutus
Image 1028: Predicted - Hemigrammus, Actual - Creagrutus
Image 1029: Predicted - Hemigrammus, Actual - Creagrutus
Image 1030: Predicted - Creagrutus, Actual - Creagrutus
Image 1031: Predicted - Hemigrammus, Actual - Creagrutus
Image 1032: Predicted - Hemigrammus, Actual - Creagrutus
Image 1033: Predicted - Hemigrammus, Actual - Creagrutus
Image 1034: Predicted - Creagrutus, Actual - Creagrutus
Image 1035: Predicted - Creagrutus, Actual - Creagrutus
Image 1036: Predicted - Creagrutus, Actual - Creagrutus
Image 1037: Predicted - Creagrutus, Actual - Creagrutus
Image 1038: Predicted - Creagrutus, Actual - Creagrutus
Image 1039: Predicted - Creagrutus, Actual - Creagrutus
Image 1040: Predicted - Creagrutus, Actual - Creagrutus
Image 1041: Predicted - Creagrutus, Actual - Creagrutus
Image 1042: Predicted - Copella, Actual - Creagrutus
Image 1043: Predicted - Creagrutus, Actual - Creagrutus
Image 1044: Predicted - Creagrutus, Actual - Creagrutus
Image 1045: Predicted - Creagrutus, Actual - Creagrutus
Image 1046: Predicted - Creagrutus, Actual - Creagrutus
Image 1047: Predicted - Creagrutus, Actual - Creagrutus
Image 1048: Predicted - Creagrutus, Actual - Creagrutus
Image 1049: Predicted - Creagrutus, Actual - Creagrutus
Image 1050: Predicted - Hemigrammus, Actual - Creagrutus
Image 1051: Predicted - Hemigrammus, Actual - Creagrutus
Image 1052: Predicted - Copella, Actual - Creagrutus
Image 1053: Predicted - Creagrutus, Actual - Creagrutus
Image 1054: Predicted - Hemigrammus, Actual - Creagrutus
Image 1055: Predicted - Creagrutus, Actual - Creagrutus
Image 1056: Predicted - Hemigrammus, Actual - Creagrutus
Image 1057: Predicted - Creagrutus, Actual - Creagrutus
Image 1058: Predicted - Hemigrammus, Actual - Creagrutus
Image 1059: Predicted - Hemigrammus, Actual - Creagrutus
Image 1060: Predicted - Creagrutus, Actual - Creagrutus
Image 1061: Predicted - Copella, Actual - Creagrutus
Image 1062: Predicted - Hemigrammus, Actual - Creagrutus
Image 1063: Predicted - Copella, Actual - Creagrutus
Image 1064: Predicted - Hemigrammus, Actual - Creagrutus
Image 1065: Predicted - Hemigrammus, Actual - Creagrutus
Image 1066: Predicted - Creagrutus, Actual - Creagrutus
Image 1067: Predicted - Creagrutus, Actual - Creagrutus
Image 1068: Predicted - Creagrutus, Actual - Creagrutus
Image 1069: Predicted - Creagrutus, Actual - Creagrutus
Image 1070: Predicted - Hemigrammus, Actual - Creagrutus
Image 1071: Predicted - Creagrutus, Actual - Creagrutus
Image 1072: Predicted - Creagrutus, Actual - Creagrutus
Image 1073: Predicted - Creagrutus, Actual - Creagrutus
Image 1074: Predicted - Hemigrammus, Actual - Creagrutus
Image 1075: Predicted - Hemigrammus, Actual - Creagrutus
Image 1076: Predicted - Copella, Actual - Creagrutus
Image 1077: Predicted - Creagrutus, Actual - Creagrutus
Image 1078: Predicted - Creagrutus, Actual - Creagrutus
Image 1079: Predicted - Copella, Actual - Creagrutus
Image 1080: Predicted - Copella, Actual - Creagrutus
Image 1081: Predicted - Creagrutus, Actual - Creagrutus
Image 1082: Predicted - Charax, Actual - Creagrutus
Image 1083: Predicted - Creagrutus, Actual - Creagrutus
Image 1084: Predicted - Hyphessobrycon, Actual - Creagrutus
Image 1085: Predicted - Creagrutus, Actual - Creagrutus
Image 1086: Predicted - Creagrutus, Actual - Creagrutus
Image 1087: Predicted - Hyphessobrycon, Actual - Creagrutus
Image 1088: Predicted - Hemigrammus, Actual - Creagrutus
Image 1089: Predicted - Creagrutus, Actual - Creagrutus
Image 1090: Predicted - Hyphessobrycon, Actual - Creagrutus
Image 1091: Predicted - Creagrutus, Actual - Creagrutus
Image 1092: Predicted - Creagrutus, Actual - Creagrutus
Image 1093: Predicted - Creagrutus, Actual - Creagrutus
Image 1094: Predicted - Bryconops, Actual - Creagrutus
Image 1095: Predicted - Creagrutus, Actual - Creagrutus
Image 1096: Predicted - Creagrutus, Actual - Creagrutus
Image 1097: Predicted - Creagrutus, Actual - Creagrutus
Image 1098: Predicted - Creagrutus, Actual - Creagrutus
Image 1099: Predicted - Creagrutus, Actual - Creagrutus
Image 1100: Predicted - Creagrutus, Actual - Creagrutus
Image 1101: Predicted - Creagrutus, Actual - Creagrutus
Image 1102: Predicted - Creagrutus, Actual - Creagrutus
Image 1103: Predicted - Creagrutus, Actual - Creagrutus
Image 1104: Predicted - Creagrutus, Actual - Creagrutus
Image 1105: Predicted - Creagrutus, Actual - Creagrutus
Image 1106: Predicted - Creagrutus, Actual - Creagrutus
Image 1107: Predicted - Creagrutus, Actual - Creagrutus
Image 1108: Predicted - Creagrutus, Actual - Creagrutus
Image 1109: Predicted - Creagrutus, Actual - Creagrutus
Image 1110: Predicted - Creagrutus, Actual - Creagrutus
Image 1111: Predicted - Creagrutus, Actual - Creagrutus
Image 1112: Predicted - Creagrutus, Actual - Creagrutus
Image 1113: Predicted - Creagrutus, Actual - Creagrutus
Image 1114: Predicted - Creagrutus, Actual - Creagrutus
Image 1115: Predicted - Knodus, Actual - Creagrutus
Image 1116: Predicted - Knodus, Actual - Creagrutus
Image 1117: Predicted - Knodus, Actual - Creagrutus
Image 1118: Predicted - Knodus, Actual - Creagrutus
Image 1119: Predicted - Creagrutus, Actual - Creagrutus
Image 1120: Predicted - Hemigrammus, Actual - Creagrutus
Image 1121: Predicted - Curimata, Actual - Curimata
Image 1122: Predicted - Curimata, Actual - Curimata
Image 1123: Predicted - Curimata, Actual - Curimata
Image 1124: Predicted - Curimata, Actual - Curimata
Image 1125: Predicted - Curimata, Actual - Curimata
Image 1126: Predicted - Curimata, Actual - Curimata
Image 1127: Predicted - Curimata, Actual - Curimata
Image 1128: Predicted - Curimata, Actual - Curimata
Image 1129: Predicted - Curimata, Actual - Curimata
Image 1130: Predicted - Curimata, Actual - Curimata
Image 1131: Predicted - Curimata, Actual - Curimata
Image 1132: Predicted - Curimata, Actual - Curimata
Image 1133: Predicted - Curimata, Actual - Curimata
Image 1134: Predicted - Curimata, Actual - Curimata
Image 1135: Predicted - Curimata, Actual - Curimata
Image 1136: Predicted - Curimata, Actual - Curimata
Image 1137: Predicted - Curimata, Actual - Curimata
Image 1138: Predicted - Curimata, Actual - Curimata
Image 1139: Predicted - Curimata, Actual - Curimata
Image 1140: Predicted - Curimata, Actual - Curimata
Image 1141: Predicted - Curimata, Actual - Curimata
Image 1142: Predicted - Curimata, Actual - Curimata
Image 1143: Predicted - Curimata, Actual - Curimata
Image 1144: Predicted - Curimata, Actual - Curimata
Image 1145: Predicted - Curimata, Actual - Curimata
Image 1146: Predicted - Curimata, Actual - Curimata
Image 1147: Predicted - Curimata, Actual - Curimata
Image 1148: Predicted - Curimata, Actual - Curimata
Image 1149: Predicted - Curimata, Actual - Curimata
Image 1150: Predicted - Curimata, Actual - Curimata
Image 1151: Predicted - Curimata, Actual - Curimata
Image 1152: Predicted - Curimata, Actual - Curimata
Image 1153: Predicted - Curimata, Actual - Curimata
Image 1154: Predicted - Curimata, Actual - Curimata
Image 1155: Predicted - Curimata, Actual - Curimata
Image 1156: Predicted - Curimata, Actual - Curimata
Image 1157: Predicted - Curimata, Actual - Curimata
Image 1158: Predicted - Curimata, Actual - Curimata
Image 1159: Predicted - Curimata, Actual - Curimata
Image 1160: Predicted - Curimata, Actual - Curimata
Image 1161: Predicted - Curimata, Actual - Curimata
Image 1162: Predicted - Curimata, Actual - Curimata
Image 1163: Predicted - Curimata, Actual - Curimata
Image 1164: Predicted - Curimata, Actual - Curimata
Image 1165: Predicted - Curimata, Actual - Curimata
Image 1166: Predicted - Curimata, Actual - Curimata
Image 1167: Predicted - Hemigrammus, Actual - Curimata
Image 1168: Predicted - Curimata, Actual - Curimata
Image 1169: Predicted - Curimata, Actual - Curimata
Image 1170: Predicted - Curimata, Actual - Curimata
Image 1171: Predicted - Curimata, Actual - Curimata
Image 1172: Predicted - Curimata, Actual - Curimata
Image 1173: Predicted - Curimata, Actual - Curimata
Image 1174: Predicted - Curimata, Actual - Curimata
Image 1175: Predicted - Curimata, Actual - Curimata
Image 1176: Predicted - Curimata, Actual - Curimata
Image 1177: Predicted - Curimata, Actual - Curimata
Image 1178: Predicted - Curimata, Actual - Curimata
Image 1179: Predicted - Curimata, Actual - Curimata
Image 1180: Predicted - Curimata, Actual - Curimata
Image 1181: Predicted - Curimata, Actual - Curimata
Image 1182: Predicted - Curimata, Actual - Curimata
Image 1183: Predicted - Curimata, Actual - Curimata
Image 1184: Predicted - Curimata, Actual - Curimata
Image 1185: Predicted - Curimata, Actual - Curimata
Image 1186: Predicted - Curimata, Actual - Curimata
Image 1187: Predicted - Curimata, Actual - Curimata
Image 1188: Predicted - Curimata, Actual - Curimata
Image 1189: Predicted - Curimata, Actual - Curimata
Image 1190: Predicted - Curimata, Actual - Curimata
Image 1191: Predicted - Curimata, Actual - Curimata
Image 1192: Predicted - Curimata, Actual - Curimata
Image 1193: Predicted - Curimata, Actual - Curimata
Image 1194: Predicted - Curimata, Actual - Curimata
Image 1195: Predicted - Curimata, Actual - Curimata
Image 1196: Predicted - Doras, Actual - Doras
Image 1197: Predicted - Doras, Actual - Doras
Image 1198: Predicted - Corydoras, Actual - Doras
Image 1199: Predicted - Doras, Actual - Doras
Image 1200: Predicted - Doras, Actual - Doras
Image 1201: Predicted - Doras, Actual - Doras
Image 1202: Predicted - Doras, Actual - Doras
Image 1203: Predicted - Doras, Actual - Doras
Image 1204: Predicted - Doras, Actual - Doras
Image 1205: Predicted - Hemigrammus, Actual - Doras
Image 1206: Predicted - Doras, Actual - Doras
Image 1207: Predicted - Doras, Actual - Doras
Image 1208: Predicted - Gasteropelecus, Actual - Doras
Image 1209: Predicted - Doras, Actual - Doras
Image 1210: Predicted - Doras, Actual - Doras
Image 1211: Predicted - Curimata, Actual - Doras
Image 1212: Predicted - Doras, Actual - Doras
Image 1213: Predicted - Otocinclus, Actual - Doras
Image 1214: Predicted - Doras, Actual - Doras
Image 1215: Predicted - Doras, Actual - Doras
Image 1216: Predicted - Doras, Actual - Doras
Image 1217: Predicted - Doras, Actual - Doras
Image 1218: Predicted - Doras, Actual - Doras
Image 1219: Predicted - Doras, Actual - Doras
Image 1220: Predicted - Doras, Actual - Doras
Image 1221: Predicted - Doras, Actual - Doras
Image 1222: Predicted - Doras, Actual - Doras
Image 1223: Predicted - Doras, Actual - Doras
Image 1224: Predicted - Doras, Actual - Doras
Image 1225: Predicted - Doras, Actual - Doras
Image 1226: Predicted - Doras, Actual - Doras
Image 1227: Predicted - Doras, Actual - Doras
Image 1228: Predicted - Doras, Actual - Doras
Image 1229: Predicted - Doras, Actual - Doras
Image 1230: Predicted - Doras, Actual - Doras
Image 1231: Predicted - Doras, Actual - Doras
Image 1232: Predicted - Doras, Actual - Doras
Image 1233: Predicted - Doras, Actual - Doras
Image 1234: Predicted - Doras, Actual - Doras
Image 1235: Predicted - Doras, Actual - Doras
Image 1236: Predicted - Doras, Actual - Doras
Image 1237: Predicted - Doras, Actual - Doras
Image 1238: Predicted - Doras, Actual - Doras
Image 1239: Predicted - Doras, Actual - Doras
Image 1240: Predicted - Doras, Actual - Doras
Image 1241: Predicted - Doras, Actual - Doras
Image 1242: Predicted - Copella, Actual - Doras
Image 1243: Predicted - Doras, Actual - Doras
Image 1244: Predicted - Doras, Actual - Doras
Image 1245: Predicted - Doras, Actual - Doras
Image 1246: Predicted - Doras, Actual - Doras
Image 1247: Predicted - Doras, Actual - Doras
Image 1248: Predicted - Doras, Actual - Doras
Image 1249: Predicted - Doras, Actual - Doras
Image 1250: Predicted - Doras, Actual - Doras
Image 1251: Predicted - Doras, Actual - Doras
Image 1252: Predicted - Doras, Actual - Doras
Image 1253: Predicted - Doras, Actual - Doras
Image 1254: Predicted - Doras, Actual - Doras
Image 1255: Predicted - Doras, Actual - Doras
Image 1256: Predicted - Doras, Actual - Doras
Image 1257: Predicted - Doras, Actual - Doras
Image 1258: Predicted - Doras, Actual - Doras
Image 1259: Predicted - Doras, Actual - Doras
Image 1260: Predicted - Doras, Actual - Doras
Image 1261: Predicted - Doras, Actual - Doras
Image 1262: Predicted - Doras, Actual - Doras
Image 1263: Predicted - Doras, Actual - Doras
Image 1264: Predicted - Doras, Actual - Doras
Image 1265: Predicted - Doras, Actual - Doras
Image 1266: Predicted - Doras, Actual - Doras
Image 1267: Predicted - Doras, Actual - Doras
Image 1268: Predicted - Doras, Actual - Doras
Image 1269: Predicted - Doras, Actual - Doras
Image 1270: Predicted - Doras, Actual - Doras
Image 1271: Predicted - Doras, Actual - Doras
Image 1272: Predicted - Doras, Actual - Doras
Image 1273: Predicted - Doras, Actual - Doras
Image 1274: Predicted - Doras, Actual - Doras
Image 1275: Predicted - Doras, Actual - Doras
Image 1276: Predicted - Copella, Actual - Doras
Image 1277: Predicted - Doras, Actual - Doras
Image 1278: Predicted - Doras, Actual - Doras
Image 1279: Predicted - Doras, Actual - Doras
Image 1280: Predicted - Doras, Actual - Doras
Image 1281: Predicted - Doras, Actual - Doras
Image 1282: Predicted - Doras, Actual - Doras
Image 1283: Predicted - Doras, Actual - Doras
Image 1284: Predicted - Doras, Actual - Doras
Image 1285: Predicted - Doras, Actual - Doras
Image 1286: Predicted - Doras, Actual - Doras
Image 1287: Predicted - Erythrinus, Actual - Erythrinus
Image 1288: Predicted - Erythrinus, Actual - Erythrinus
Image 1289: Predicted - Erythrinus, Actual - Erythrinus
Image 1290: Predicted - Erythrinus, Actual - Erythrinus
Image 1291: Predicted - Erythrinus, Actual - Erythrinus
Image 1292: Predicted - Erythrinus, Actual - Erythrinus
Image 1293: Predicted - Erythrinus, Actual - Erythrinus
Image 1294: Predicted - Copella, Actual - Erythrinus
Image 1295: Predicted - Erythrinus, Actual - Erythrinus
Image 1296: Predicted - Copella, Actual - Erythrinus
Image 1297: Predicted - Charax, Actual - Erythrinus
Image 1298: Predicted - Copella, Actual - Erythrinus
Image 1299: Predicted - Erythrinus, Actual - Erythrinus
Image 1300: Predicted - Erythrinus, Actual - Erythrinus
Image 1301: Predicted - Bunocephalus, Actual - Erythrinus
Image 1302: Predicted - Erythrinus, Actual - Erythrinus
Image 1303: Predicted - Erythrinus, Actual - Erythrinus
Image 1304: Predicted - Erythrinus, Actual - Erythrinus
Image 1305: Predicted - Erythrinus, Actual - Erythrinus
Image 1306: Predicted - Erythrinus, Actual - Erythrinus
Image 1307: Predicted - Erythrinus, Actual - Erythrinus
Image 1308: Predicted - Erythrinus, Actual - Erythrinus
Image 1309: Predicted - Erythrinus, Actual - Erythrinus
Image 1310: Predicted - Erythrinus, Actual - Erythrinus
Image 1311: Predicted - Erythrinus, Actual - Erythrinus
Image 1312: Predicted - Erythrinus, Actual - Erythrinus
Image 1313: Predicted - Erythrinus, Actual - Erythrinus
Image 1314: Predicted - Erythrinus, Actual - Erythrinus
Image 1315: Predicted - Erythrinus, Actual - Erythrinus
Image 1316: Predicted - Curimata, Actual - Erythrinus
Image 1317: Predicted - Prochilodus, Actual - Erythrinus
Image 1318: Predicted - Bryconops, Actual - Erythrinus
Image 1319: Predicted - Erythrinus, Actual - Erythrinus
Image 1320: Predicted - Erythrinus, Actual - Erythrinus
Image 1321: Predicted - Erythrinus, Actual - Erythrinus
Image 1322: Predicted - Erythrinus, Actual - Erythrinus
Image 1323: Predicted - Erythrinus, Actual - Erythrinus
Image 1324: Predicted - Hyphessobrycon, Actual - Erythrinus
Image 1325: Predicted - Erythrinus, Actual - Erythrinus
Image 1326: Predicted - Otocinclus, Actual - Erythrinus
Image 1327: Predicted - Erythrinus, Actual - Erythrinus
Image 1328: Predicted - Erythrinus, Actual - Erythrinus
Image 1329: Predicted - Erythrinus, Actual - Erythrinus
Image 1330: Predicted - Erythrinus, Actual - Erythrinus
Image 1331: Predicted - Erythrinus, Actual - Erythrinus
Image 1332: Predicted - Erythrinus, Actual - Erythrinus
Image 1333: Predicted - Erythrinus, Actual - Erythrinus
Image 1334: Predicted - Erythrinus, Actual - Erythrinus
Image 1335: Predicted - Erythrinus, Actual - Erythrinus
Image 1336: Predicted - Erythrinus, Actual - Erythrinus
Image 1337: Predicted - Erythrinus, Actual - Erythrinus
Image 1338: Predicted - Erythrinus, Actual - Erythrinus
Image 1339: Predicted - Erythrinus, Actual - Erythrinus
Image 1340: Predicted - Erythrinus, Actual - Erythrinus
Image 1341: Predicted - Erythrinus, Actual - Erythrinus
Image 1342: Predicted - Gasteropelecus, Actual - Gasteropelecus
Image 1343: Predicted - Gasteropelecus, Actual - Gasteropelecus
Image 1344: Predicted - Gasteropelecus, Actual - Gasteropelecus
Image 1345: Predicted - Gasteropelecus, Actual - Gasteropelecus
Image 1346: Predicted - Gasteropelecus, Actual - Gasteropelecus
Image 1347: Predicted - Gasteropelecus, Actual - Gasteropelecus
Image 1348: Predicted - Gasteropelecus, Actual - Gasteropelecus
Image 1349: Predicted - Gasteropelecus, Actual - Gasteropelecus
Image 1350: Predicted - Gasteropelecus, Actual - Gasteropelecus
Image 1351: Predicted - Gasteropelecus, Actual - Gasteropelecus
Image 1352: Predicted - Gasteropelecus, Actual - Gasteropelecus
Image 1353: Predicted - Gasteropelecus, Actual - Gasteropelecus
Image 1354: Predicted - Gasteropelecus, Actual - Gasteropelecus
Image 1355: Predicted - Gasteropelecus, Actual - Gasteropelecus
Image 1356: Predicted - Gasteropelecus, Actual - Gasteropelecus
Image 1357: Predicted - Gasteropelecus, Actual - Gasteropelecus
Image 1358: Predicted - Gasteropelecus, Actual - Gasteropelecus
Image 1359: Predicted - Gasteropelecus, Actual - Gasteropelecus
Image 1360: Predicted - Gasteropelecus, Actual - Gasteropelecus
Image 1361: Predicted - Gasteropelecus, Actual - Gasteropelecus
Image 1362: Predicted - Gasteropelecus, Actual - Gasteropelecus
Image 1363: Predicted - Gasteropelecus, Actual - Gasteropelecus
Image 1364: Predicted - Gasteropelecus, Actual - Gasteropelecus
Image 1365: Predicted - Gasteropelecus, Actual - Gasteropelecus
Image 1366: Predicted - Gasteropelecus, Actual - Gasteropelecus
Image 1367: Predicted - Gasteropelecus, Actual - Gasteropelecus
Image 1368: Predicted - Gasteropelecus, Actual - Gasteropelecus
Image 1369: Predicted - Gasteropelecus, Actual - Gasteropelecus
Image 1370: Predicted - Gasteropelecus, Actual - Gasteropelecus
Image 1371: Predicted - Gasteropelecus, Actual - Gasteropelecus
Image 1372: Predicted - Gasteropelecus, Actual - Gasteropelecus
Image 1373: Predicted - Gasteropelecus, Actual - Gasteropelecus
Image 1374: Predicted - Gasteropelecus, Actual - Gasteropelecus
Image 1375: Predicted - Gasteropelecus, Actual - Gasteropelecus
Image 1376: Predicted - Gasteropelecus, Actual - Gasteropelecus
Image 1377: Predicted - Gasteropelecus, Actual - Gasteropelecus
Image 1378: Predicted - Gasteropelecus, Actual - Gasteropelecus
Image 1379: Predicted - Gasteropelecus, Actual - Gasteropelecus
Image 1380: Predicted - Gasteropelecus, Actual - Gasteropelecus
Image 1381: Predicted - Gasteropelecus, Actual - Gasteropelecus
Image 1382: Predicted - Gasteropelecus, Actual - Gasteropelecus
Image 1383: Predicted - Gasteropelecus, Actual - Gasteropelecus
Image 1384: Predicted - Gasteropelecus, Actual - Gasteropelecus
Image 1385: Predicted - Gasteropelecus, Actual - Gasteropelecus
